breed,text
Welsh_Corgi, Welsh Corgi
Welsh_Corgi, 웰시 코기
Welsh_Corgi,Cardigan Welsh Corgi
Welsh_Corgi,cardigan Welsh Corgi
Welsh_Corgi,Cardigan Welsh Corgi(카디건 웰시 코기)
Welsh_Corgi,CORGI
Welsh_Corgi,Pembroke Welsh Corgi
Welsh_Corgi,Pembroke Welsh Corgi(펨브록 웰시 코기)
Welsh_Corgi,PEMBROKE WELSH CORGI(펨브록 웰시 코기)
Welsh_Corgi,Pembroke Welsh corgr
Welsh_Corgi,Perbroke Welsh Corgi
Welsh_Corgi,W.corgi
Welsh_Corgi,W.CORGI(452)
Welsh_Corgi,W.Corgie
Welsh_Corgi,WALSHCORGI
Welsh_Corgi,Weils corgi
Welsh_Corgi,Welch corgi
Welsh_Corgi,Welch Corgi
Welsh_Corgi,welch corgi
Welsh_Corgi,WELCH CORGIE
Welsh_Corgi,welchi corgi
Welsh_Corgi,Welchi corgi
Welsh_Corgi,WELCHI CORGIE
Welsh_Corgi,wellsicorgi
Welsh_Corgi,welsh
Welsh_Corgi,WELSH  COGIL
Welsh_Corgi,Welsh Cogi
Welsh_Corgi,welsh cogi
Welsh_Corgi,Welsh Corg
Welsh_Corgi,welsh corge
Welsh_Corgi,WELSH CORGI
Welsh_Corgi,Welsh Corgi
Welsh_Corgi,welsh corgi
Welsh_Corgi,welsh Corgi
Welsh_Corgi,Welsh corgi
Welsh_Corgi,Welsh Corgi 
Welsh_Corgi,Welsh Corgi (Cardigan)
Welsh_Corgi,Welsh Corgi (웰시코기)
Welsh_Corgi,Welsh Corgi / Cardigan
Welsh_Corgi,Welsh Corgi / Pembroke
Welsh_Corgi,Welsh corgi cardigan
Welsh_Corgi,WELSH CORGI CARDIGAN
Welsh_Corgi,Welsh Corgi Cardigan 
Welsh_Corgi,WELSH CORGI D
Welsh_Corgi,WELSH CORGI PEMBROK
Welsh_Corgi,Welsh corgi pembroke
Welsh_Corgi,Welsh Corgi Pembroke
Welsh_Corgi,welsh corgi pembroke
Welsh_Corgi,WELSH CORGI PEMBROKE
Welsh_Corgi,Welsh Corgi Pembroke 
Welsh_Corgi,WELSH CORGI PHEMBROKE
Welsh_Corgi,Welsh Corgi(웰쉬 코르기)
Welsh_Corgi,Welsh Corgi(웰시 코기)
Welsh_Corgi,WELSH CORGI(웰시 코르기)
Welsh_Corgi,welsh corgi(웰시코기)
Welsh_Corgi,WELSH CORGI(웰시코기)
Welsh_Corgi,Welsh Corgi(웰시코기)
Welsh_Corgi,Welsh corgi(웰시코키)
Welsh_Corgi,WELSH CORGI1
Welsh_Corgi,WELSH CORGI-b
Welsh_Corgi,Welsh Corgis
Welsh_Corgi,welsh corgis
Welsh_Corgi,WELSH CORGIS
Welsh_Corgi,Welsh Corgis (분)
Welsh_Corgi,WELSH CORGIS 웰시 코기
Welsh_Corgi,WELSH CORGIS 웰시 코르기
Welsh_Corgi,Welsh Corgis(웰쉬 코기)
Welsh_Corgi,WELSH CORGIS(웰쉬 코기)
Welsh_Corgi,Welsh Corgis(웰쉬 코르기)
Welsh_Corgi,WELSH CORGIS(웰쉬 코르기)
Welsh_Corgi,WELsh Corgis(웰쉬 코르기)
Welsh_Corgi,welsh Corgis(웰쉬 코르기)
Welsh_Corgi,Welsh Corgis(웰시 코기)
Welsh_Corgi,Welsh Corgis(웰시 코르기)
Welsh_Corgi,WELSH CORGIS(웰시 코르기)
Welsh_Corgi,Welsh Corgis(웰시코기)
Welsh_Corgi,WELSH CORGIS(웰시코기)
Welsh_Corgi,Welsh Corgis1
Welsh_Corgi,WELSH CORGIS1
Welsh_Corgi,welsh coughi
Welsh_Corgi,welshcorgi
Welsh_Corgi,welsh-corgi
Welsh_Corgi,WELSHCORGI (웰시코기)
Welsh_Corgi,Welshcorgis
Welsh_Corgi,welshi cogi
Welsh_Corgi,welshi corgi
Welsh_Corgi,welshi corgi cardigan
Welsh_Corgi,welshi corgis
Welsh_Corgi,Welshi gorgie
Welsh_Corgi,WELSHICORGI
Welsh_Corgi,Welshicorgy
Welsh_Corgi,welshy corgi
Welsh_Corgi,Welshy corgy
Welsh_Corgi,welshycokie
Welsh_Corgi,welsi corgi
Welsh_Corgi,WELSI CORGI
Welsh_Corgi,welsicorgi
Welsh_Corgi,welsy corgi
Welsh_Corgi,기웰시코
Welsh_Corgi,기웰시코르
Welsh_Corgi,엘시코기
Welsh_Corgi,왜시코기
Welsh_Corgi,욀씨코기
Welsh_Corgi,월시코기
Welsh_Corgi,웨리코기
Welsh_Corgi,웨시코기
Welsh_Corgi,웨일스 코기 / 카디건
Welsh_Corgi,웨일스 코기 / 펨브로크
Welsh_Corgi,웰기코기
Welsh_Corgi,웰쉬 코기
Welsh_Corgi,웰쉬 코르기 (Welsh Corgis)
Welsh_Corgi,웰쉬 코르기(웰시코기)
Welsh_Corgi,웰쉬코기
Welsh_Corgi,웰쉬코기 펨브록
Welsh_Corgi,웰시
Welsh_Corgi,웰시 코기
Welsh_Corgi,웰시 코기 
Welsh_Corgi,웰시 코기(Welsh cogy)
Welsh_Corgi,웰시 코기(Welsh Corgis)
Welsh_Corgi,웰시 코르기
Welsh_Corgi,웰시 코르키
Welsh_Corgi,웰시 코키
Welsh_Corgi,웰시 콕
Welsh_Corgi,웰시고기
Welsh_Corgi,웰시시
Welsh_Corgi,웰시코겐
Welsh_Corgi,웰시코기
Welsh_Corgi,웰시코기 
Welsh_Corgi,웰시코기 -봉이
Welsh_Corgi,웰시코기 카디건
Welsh_Corgi,웰시코기 팸브록
Welsh_Corgi,웰시코기 펨브록
Welsh_Corgi,웰시코기 펨브르크
Welsh_Corgi,웰시코기 펨프로그
Welsh_Corgi,웰시코기(WELSH CORGI) 
Welsh_Corgi,웰시코기(Welshcorgi)
Welsh_Corgi,웰시코기(칸타)
Welsh_Corgi,웰시코기카디건
Welsh_Corgi,웰시코기팸부르크
Welsh_Corgi,웰시코깅
Welsh_Corgi,웰시코르기
Welsh_Corgi,웰시코시
Welsh_Corgi,웰시코지
Welsh_Corgi,웰시코크
Welsh_Corgi,웰시코키
Welsh_Corgi,웰시코키(welsh corgi)
Welsh_Corgi,웰시콕
Welsh_Corgi,웰시콕기
Welsh_Corgi,웰시콕키
Welsh_Corgi,웰시콜기
Welsh_Corgi,웰시팸브룩
Welsh_Corgi,웰씨코기
Welsh_Corgi,웰치 코기
Welsh_Corgi,웰치코기
Welsh_Corgi,웰키코기
Welsh_Corgi,윌시코기
Welsh_Corgi,카디건 웰시 코기
Welsh_Corgi,카디건 웰시코기
Welsh_Corgi,카디건웰시코기
Welsh_Corgi,코기
Welsh_Corgi,트라이웰시코기
Welsh_Corgi,팬브로크 웰시코기
Welsh_Corgi,펜브룩 웰시코기
Welsh_Corgi,펜브룩 웰시코기ㅊㅁ
Welsh_Corgi,펨브로크 웰시 코기
Welsh_Corgi,펨브로크 웰시코기
Welsh_Corgi,펨브로크웰시코키
Welsh_Corgi,펨브록 웰시 코기
Welsh_Corgi,펨브록 웰시코기
Welsh_Corgi,펨브록웰시코기
Welsh_Corgi,헬시코기
